"['g1', 'tau1']","['g2', 'tau2']",OBJ,G0,G1,G2
9.5509858602908476e-02,4.0663505844935180e+01,5.1059028860798647e-02,1.7794965284727155e+03,5.1664232806381272e-02,-1.0000000000000000e+00,-3.4899843881818979e-02,-8.7565499958224424e-01
9.5509858602908476e-02,4.0461199845706645e+01,5.1314324005102642e-02,1.7794965284727155e+03,5.1570997742430312e-02,-1.0000000000000000e+00,-3.4644548737514984e-02,-8.7621696069121235e-01
9.5509858602908476e-02,4.0461199845706645e+01,5.1059028860798647e-02,1.7883940111150791e+03,5.1753440745663355e-02,-1.0000000000000000e+00,-3.4899843881818979e-02,-8.8116000660363658e-01
1.1834112914479636e-01,4.1332872780291197e+01,5.5539091708544007e-02,1.6906430225721219e+03,3.2282608776923148e-02,-1.0000000000000000e+00,-5.0967924521772713e-02,-8.2443258815037002e-01
1.0423062824921032e-01,4.0794149291313772e+01,5.2770260656876851e-02,1.7455575080487858e+03,4.4103677801234538e-02,-1.0000000000000000e+00,-4.1037304767412443e-02,-8.5643708977345390e-01
1.0962036017891942e-01,4.0999923360661946e+01,5.3827860045982077e-02,1.7245820403480109e+03,3.9498391516848565e-02,-1.0000000000000000e+00,-4.4830464115045397e-02,-8.4421245752483398e-01
1.1295139763259510e-01,4.1127098726883013e+01,5.4481492401364205e-02,1.7116184886480626e+03,3.6700094230672622e-02,-1.0000000000000000e+00,-4.7174765467971384e-02,-8.3665721945202642e-01
1.1501009195101984e-01,4.1205697423992810e+01,5.4885459404160564e-02,1.7036065732606085e+03,3.4994407823141692e-02,-1.0000000000000000e+00,-4.8623623351757295e-02,-8.3198782563369134e-01
1.1628243498584540e-01,4.1254274089269927e+01,5.5135124737040374e-02,1.6986549373389444e+03,3.3950980216321855e-02,-1.0000000000000000e+00,-4.9519066750220490e-02,-8.2910198160699700e-01
1.1893283479052034e-01,4.1332872780291197e+01,5.5539091708544007e-02,1.6906430225721219e+03,3.1885886457983958e-02,-1.0000000000000000e+00,-5.1500459602924299e-02,-8.2443258815037002e-01
1.1834112914479636e-01,4.1539537144192657e+01,5.5539091708544007e-02,1.6906430225721219e+03,3.2241338896839548e-02,-1.0000000000000000e+00,-5.0967924521772713e-02,-8.2385852047286590e-01
1.1834112914479636e-01,4.1332872780291197e+01,5.5816787167086726e-02,1.6906430225721219e+03,3.2150333776780685e-02,-1.0000000000000000e+00,-5.0690229063229994e-02,-8.2443258815037002e-01
1.1834112914479636e-01,4.1332872780291197e+01,5.5539091708544007e-02,1.6990962376849825e+03,3.2348023033827035e-02,-1.0000000000000000e+00,-5.0967924521772713e-02,-8.2912881876862587e-01
1.5544502828018425e-01,4.2985562383720605e+01,6.3071714291446632e-02,1.5378628643163065e+03,1.8002849968010808e-02,-1.0000000000000000e+00,-7.6828811160719199e-02,-7.3496391799872418e-01
1.3251355799608094e-01,4.1964144058072392e+01,5.8416297611627886e-02,1.6322861928797024e+03,2.1843689831319214e-02,-1.0000000000000000e+00,-6.0845904584844963e-02,-7.9025859588296687e-01
1.4127260053468202e-01,4.2354291155193401e+01,6.0194508612852402e-02,1.5962196894555225e+03,1.7501871040052311e-02,-1.0000000000000000e+00,-6.6950831868361413e-02,-7.6913790759975298e-01
1.4668598642008981e-01,4.2595415316821800e+01,6.1293503427968687e-02,1.5739293649466467e+03,1.6427725451240136e-02,-1.0000000000000000e+00,-7.0723884350112148e-02,-7.5608460464585425e-01
1.5003164281714779e-01,4.2744438240905559e+01,6.1972719562077755e-02,1.5601531870860135e+03,1.6552744582999601e-02,-1.0000000000000000e+00,-7.3055758973355256e-02,-7.4801721993415871e-01
1.4461825709494483e-01,4.2503314086546673e+01,6.0873724780094389e-02,1.5824435109228723e+03,1.6658862452535023e-02,-1.0000000000000000e+00,-6.9282706605355959e-02,-7.6107052249452156e-01
1.4770269671033454e-01,4.2640701838334152e+01,6.1499910168797245e-02,1.5697429273305593e+03,1.6400086446968998e-02,-1.0000000000000000e+00,-7.1432516870503837e-02,-7.5363301007716033e-01
1.4844121019388620e-01,4.2640701838334152e+01,6.1499910168797245e-02,1.5697429273305593e+03,1.6456119675141791e-02,-1.0000000000000000e+00,-7.2097179005700340e-02,-7.5363301007716033e-01
1.4770269671033454e-01,4.2853905347525817e+01,6.1499910168797245e-02,1.5697429273305593e+03,1.6328558631776735e-02,-1.0000000000000000e+00,-7.1432516870503837e-02,-7.5304077810718340e-01
1.4770269671033454e-01,4.2640701838334152e+01,6.1807409719641229e-02,1.5697429273305593e+03,1.6347302370553502e-02,-1.0000000000000000e+00,-7.1125017319659853e-02,-7.5363301007716033e-01
1.4770269671033454e-01,4.2640701838334152e+01,6.1499910168797245e-02,1.5775916419672121e+03,1.6418301193443726e-02,-1.0000000000000000e+00,-7.1432516870503837e-02,-7.5799340709752305e-01
1.4760121997901329e-01,4.2721511352145420e+01,6.1561756426694925e-02,1.5687079480419097e+03,1.6353700434311336e-02,-1.0000000000000000e+00,-7.1279341554417036e-02,-7.5283355071176805e-01
